Page,Title,Date
1,Smartproxy Temporarily Cuts Residential Proxy Prices,"May 11, 2023"
1,SOAX Launches Rotating ISP Proxies,"May 11, 2023"
1,Infantica Introduces Shared Datacenter Proxies,"May 11, 2023"
1,"Oxylabs Adds Self-Service, New Plans To Web Scraping Products","April 13, 2023"
1,Bright Data Launches Scraping Browser,"March 21, 2023"
1,"Smartproxy Launches Mobile Proxies, Social Media Scraping API","March 1, 2023"
1,Oxylabs Introduces New Plans for Entry-Level and Enterprise Clients,"January 27, 2023"
1,Zyte Officially Launches Zyte API,"January 27, 2023"
1,"IPRoyal Rebrands, Adds Features, Raises Prices","January 24, 2023"
1,SOAX Launches a Podcast on Ethical Data Collection,"January 16, 2023"
1,Oxylabs Launches Web Unblocker,"January 10, 2023"
1,Bright Data and Meta Sue One Another,"January 9, 2023"
2,Smartproxy Launches Pay-Per-IP Shared Datacenter Proxies,"December 19, 2022"
2,Ethics of Web Data: Interview with i2Coalition,"December 14, 2022"
2,Oxylabs Launches Its Fourth Scraping Tool: Real Estate Scraper API,"November 28, 2022"
2,NetNut Introduces Mobile Proxy Plans,"November 16, 2022"
2,End of Survey on Proxy Use + Some Stats,"October 19, 2022"
2,Proxy Ethicality: Interview with SOAX,"October 10, 2022"
2,Smartproxy Acquires SERPMaster,"October 7, 2022"
2,Zyte’s 2022 Extract Summit: A Recap,"October 6, 2022"
2,Jarvee Shuts Down,"September 21, 2022"
2,Oxylabs Acquires Webshare,"September 20, 2022"
2,The i2Coalition Launches an Initiative to Make Public Data Aggregation More Ethical,"September 16, 2022"
2,"Bright Data Buys a Digital Analytics Company, Announces Bright Insights","September 14, 2022"
3,OxyCon Day 2 Recap,"September 13, 2022"
3,OxyCon Day 1 Recap,"September 8, 2022"
3,Balancing Proxy Cost and Quality: Is It Worth Saving a Buck by Choosing a Cheaper Provider?,"August 24, 2022"
3,Zyte to Hold Its Annual Web Scraping Conference,"August 24, 2022"
3,Smartproxy Introduces a Pay-As-You-Go Plan,"August 4, 2022"
3,"911 Proxy Service Shuts Down, Users Scramble for Alternatives","August 4, 2022"
3,"Oxylabs Cuts Prices, Introduces a Pay-As-You-Go Plan","August 3, 2022"
3,Blazing SEO Rebrands and Becomes Rayobyte,"July 12, 2022"
3,"OxyCon, a Virtual Web Scraping Conference by Oxylabs, Returns for the Third Year","June 23, 2022"
3,Smartproxy Launches Three New Scraping Tools,"June 22, 2022"
3,FBI Takes Down RSocks,"June 17, 2022"
3,Bright Data Introduces Residential Proxy No-KYC Mode,"June 2, 2022"
4,Proxy Ethicality: Interview with Blazing SEO,"May 30, 2022"
4,Oxylabs Introduces Shared Datacenter Proxies,"May 19, 2022"
4,Proxy Ethicality: Interview with Bright Data,"May 12, 2022"
4,"Smartproxy Adds Wallet Functionality, More Datacenter Locations, Free Trial","May 12, 2022"
4,"IPRoyal’s Home-Grown Residential Pool Reaches 250,000 Monthly IPs","May 11, 2022"
4,Proxy Ethicality: Interview with Oxylabs,"April 7, 2022"
4,Proxy Providers Stand with Ukraine,"March 2, 2022"
4,Blazing SEO Raises Funds to Support Its Stranded Ukrainian Team,"March 2, 2022"
4,Oxylabs Goes on the Offensive against Bright Data,"January 10, 2022"
4,How KYC Guidelines Protect the Proxy Market,"November 30, 2021"
4,How to Safeguard the Proxy Industry,"November 15, 2021"
4,Foot Locker Is Introducing Raffle-Based Online Sneaker Releases,"November 9, 2021"
5,Bright Data Launches a Free VPN,"October 28, 2021"
5,IPRoyal Loses One of Its Residential Proxy Pools,"October 26, 2021"
5,On Ethical Proxy IP Acquisition and Use,"September 30, 2021"
5,Smartproxy Starts Offering Dedicated Datacenter Proxies,"September 16, 2021"
5,Blazing SEO Introduces Mobile Proxy Plans,"August 31, 2021"
5,"Introducing: New Team Member, Isabel","August 23, 2021"
5,Smartproxy Launches a Visual Web Scraper Browser Extension,"August 17, 2021"
5,Zyte to Hold a Virtual Web Scraping Conference,"August 4, 2021"
5,Oxylabs to Host a Virtual Web Scraping Conference,"June 10, 2021"
5,Oxylabs Launches a Browser Extension for Google Chrome,"April 15, 2021"
5,Smartproxy Launches an Anonymous Browser,"April 7, 2021"
5,"NetNut Launches New Proxy Types, Self-Service","March 19, 2021"
6,Oxylabs Signs an Exclusive Contract with Honeygain,"March 18, 2021"
6,"Luminati Rebrands, Becomes Bright Data","March 17, 2021"
6,Oxylabs to Host a Webinar on the Legality of Web Scraping,"March 3, 2021"
6,Smartproxy Launches Search Engine Proxies,"February 8, 2021"
6,"Scrapinghub Becomes Zyte, Releases a No-Code Scraping Tool","February 2, 2021"
6,Luminati Initiates a Data Collection Ethical Committee,"January 20, 2021"
6,NetNut to Launch a Free VPN,"January 12, 2021"
6,Oxylabs Releases Real-Time Crawler Browser Integration,"January 5, 2021"
6,Luminati Releases a New Tool for Scraping Search Engines,"December 22, 2020"
6,"Smartproxy Adds US States, Increases Rotation Time","December 22, 2020"
6,Introducing: Proxyway News Feed!,"December 15, 2020"
